Question,Question Type,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response #,Explanation,Knowledge Area
What would be a reason to do misuse case testing on our software?,multiple-choice,To ensure all exposed interfaces are tested.,To expose the system to normal user traffic and use.,To see how well the software installs on certain hardware systems.,"Because attackers do not act like normal users, we need to test against that.",,,4,"Misuse Case Testing: Executing a malicious act against a system, attackers won't do what normal users would, we need to test misuse to ensure our application or software is safe.",CBK 6: Security Assessment and Testing
"When a penetration tester is doing a black box test, how much knowledge do they have about their target?",multiple-choice,No knowledge other than what is publicly available.,Full knowledge and privileges access to systems.,"Partial knowledge, user or vendor access level.",All of these.,,,1,Black box Pen testing (Zero Knowledge): The attacker had no knowledge about the organization other than publicly available information. They start from the point an external attacker would.,CBK 6: Security Assessment and Testing
What does SOC2 type 1 report on?,multiple-choice,The sustainability of the design of controls.,The sustainability of the design AND operating effectiveness of controls.,The future state of our controls and countermeasures.,How resilient our systems are and how often we can expect exploits with our current settings.,,,1,SOC 2 Type 1 report on management’s description of a service organization’s system and the suitability of the design of controls.,CBK 6: Security Assessment and Testing
"Prior to an external structured audit, we would often do an 'unstructured' audit. Who would perform that?",multiple-choice,Senior management.,IT security staff.,External auditors.,Internal auditors.,,,4,"Unstructured audits: Internal auditors to improve our security and find flaws, often done before an external audit.",CBK 6: Security Assessment and Testing
What could a vulnerability scan possibly help us find?,multiple-choice,"Missing patches, outdated software and users accessing files they shouldn't.","Missing patches, outdated software and high utilization on a resource.","Outdated software, missing patches and system misconfigurations.","System misconfigurations, missing patches and a list of threats.",,,3,"A vulnerability scanner tool is used to scan a network or system for a list of predefined vulnerabilities such as system misconfiguration, outdated software, or a lack of patching.",CBK 6: Security Assessment and Testing
As part of a security assessment we are having an external company do penetration testing. What do we call a penetration test where the tester has full admin level knowledge about our organization and IT infrastructure? (Select all that apply).,multi-select,White box.,Clear box.,Crystal box.,Full box.,Gray box.,Black box.,"1,2,3","White box (Crystal/Clear) Pen testing: (Full Knowledge). The attacker has knowledge of the internal network and access to it like a privileged employee would. Normally Administrator access employee with full knowledge of our environment. There is no full box, gray is partial knowledge and black is no knowledge.",CBK 6: Security Assessment and Testing
What would a penetration testing Statement Of Work (SOW) NOT include?,multiple-choice,IP ranges.,Time frames.,Rules of engagement.,Complete and accurate employee PHI.,,,4,"Penetration Testing (Pen Testing) have very clear rules of engagement defined in a SOW (Statement Of Work). Which IP ranges, time frame, tools, POC, how to test, what to test.",CBK 6: Security Assessment and Testing
"An attacker has discovered one of the SSIDs in our organization. They plan to use the information in their initial attack, what have they discovered?",multiple-choice,Our switches.,Our servers.,Our wireless.,Our firewall.,,,3,"SSIDs are the names of our wireless access points, if an attacker has that it is likely that is the next target. SSIDs are easy to discover.",CBK 6: Security Assessment and Testing
"We have hired a penetration testing company to find security flaws in our organization. They are at the enumeration phase, what are they doing?",multiple-choice,Reconnaissance.,Scanning.,Vulnerability assessment.,Exploitation.,,,2,"Pen testing would normally have these phases, enumeration is the same as scanning. Planning > Reconnaissance > Scanning (enumeration) > Vulnerability assessment > Exploitation > Reporting.
",CBK 6: Security Assessment and Testing
"What would be the PRIMARY reason we use a specific server for storing our centralized logs, and only giving our administrators limited access?",multiple-choice,To have logs available for analysis.,To ensure the logs integrity.,For the SEIM to be able to access them.,For redundancy.,,,2,We want to ensure our central log repository is not tempered with by staff or attackers. While it also can provide redundancy it is not the main reason. The SEIM can access logs wherever they may be.,CBK 6: Security Assessment and Testing
